what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1416872558856
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1416872558856
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1416872558856
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1416872559121
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1416872559121
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1416872559121
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1416872559121
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1416872559121
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1416872559121
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1416872559215
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1416872559215
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1416872559215
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1416872559215
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1416872559215
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1416872559215
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1416872559215
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1416872559215
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1416872559215
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1416872559496
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1416872559496
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1416872559496
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1416872559496
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1416872559496
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1416872559496
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1416872559496
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1416872559496
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1416872559496
os,sysinfo,,,"win32",1416872559589
arch,sysinfo,,,"x86",1416872559589
ws,sysinfo,,,"win32",1416872559589
locale,sysinfo,,,"en_CA",1416872559589
processors,sysinfo,,,"8",1416872559589
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1416872559589
java.runtime.version,sysinfo,,,"1.7.0_40-b43",1416872559589
java.specification.name,sysinfo,,,"Java Platform API Specification",1416872559589
java.specification.vendor,sysinfo,,,"Oracle Corporation",1416872559589
java.specification.version,sysinfo,,,"1.7",1416872559589
java.vendor,sysinfo,,,"Oracle Corporation",1416872559589
java.version,sysinfo,,,"1.7.0_40",1416872559589
java.vm.info,sysinfo,,,"mixed mode, sharing",1416872559589
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1416872559589
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1416872559589
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1416872559589
java.vm.specification.version,sysinfo,,,"1.7",1416872559589
java.vm.vendor,sysinfo,,,"Oracle Corporation",1416872559589
